Fecha,Conductividad,Carga motor M14,Carga motor M15,Presion 26,Presion 25,Temperatura 15,Temperatura 14,Estado
2006-11-03 18:00:00,4.2,61.5465851,36.4506125,21.0963417,20.9,76.8324228,103.5920338,0.0
2006-11-03 20:00:00,4.2,56.1246947,36.3513259,21.1621548,21.1,74.389582,103.5937196,0.0
2006-11-03 22:00:00,4.1,61.1630884,35.4528001,21.4486155,21.0,74.5310527,103.7055503,0.0
2006-11-04 00:00:00,4.1,57.522048,35.5458218,21.4208654,21.1,74.9931889,103.7064051,0.0
2006-11-04 02:00:00,4.1,57.5011031,35.8546467,21.4489942,21.1,74.6762277,103.6327321,0.0
2006-11-04 04:00:00,4.1,54.5939388,35.4245784,21.3539198,21.1,74.0610883,103.604596,0.0
2006-11-04 06:00:00,4.3,58.8797611,35.3703771,20.9311685,21.0,75.8629042,103.2027681,0.0
2006-11-04 08:00:00,4.3,58.3890401,35.2352533,20.6782712,20.5,77.1714001,103.0680063,0.0
2006-11-04 10:00:00,4.2,59.597546,35.4814042,20.9178819,20.6,77.6025433,103.4114787,0.0
2006-11-04 12:00:00,4.2,59.3563567,36.0440065,20.8148413,20.6,75.4912808,103.4270552,0.0
2006-11-04 14:00:00,4.8,59.9622686,35.4653379,20.7770036,21.0,73.2055061,103.232105,0.0
2006-11-04 16:00:00,5.1,76.8499748,33.7537925,20.9186032,21.3,77.0273252,103.4385216,0.0
2006-11-04 18:00:00,4.0,76.5386558,35.0176981,21.1783137,21.3,78.5052852,102.8743474,0.0
2006-11-04 20:00:00,4.0,64.5545124,35.919806,20.9704571,20.8,77.5945081,103.1151681,0.0
2006-11-04 22:00:00,4.1,56.1405553,35.8337253,21.1616651,21.2,76.4555968,103.4723804,0.0
2006-11-05 00:00:00,4.1,52.6584984,36.182268,21.3295153,20.8,77.243706,103.4769076,0.0
2006-11-05 02:00:00,4.0,53.0898432,36.4311475,20.8620006,20.5,76.7900407,103.5242641,0.0
2006-11-05 04:00:00,3.9,60.7677681,35.4470659,20.9022521,20.5,74.2098889,103.1177987,0.0
2006-11-05 06:00:00,3.9,58.0246546,35.5632598,21.1486559,20.8,77.0464697,104.1702242,0.0
2006-11-05 08:00:00,4.0,58.4181986,36.0039372,20.9409334,20.8,75.6198375,103.0412816,0.0
2006-11-05 10:00:00,4.1,57.0300844,35.9907619,21.164702,20.9,75.1305951,102.7714535,0.0
2006-11-05 12:00:00,4.0,58.8045576,35.9221363,20.9990036,20.9,75.5981187,103.2671169,0.0
2006-11-05 14:00:00,4.0,55.7849306,36.2954697,20.9091364,20.9,75.8145861,103.752954,0.0
2006-11-05 16:00:00,4.0,63.8382744,35.2609362,20.924068,21.0,74.9462658,103.1964324,0.0
2006-11-05 18:00:00,3.9,62.7483646,34.5727375,20.8822229,20.3,75.0610865,103.2909102,0.0
2006-11-05 20:00:00,3.8,60.6461122,34.5840546,20.5873078,20.6,74.9741026,103.3681103,0.0
2006-11-05 22:00:00,4.0,60.0947208,34.2667188,20.6599529,20.5,74.8011691,103.6073177,0.0
2006-11-06 00:00:00,3.9,59.335348,34.4353731,20.8601841,20.4,74.9746356,103.4230631,0.0
2006-11-06 02:00:00,3.8,60.6318855,34.5587892,20.8709205,20.6,75.0068892,103.8608004,0.0
2006-11-06 04:00:00,3.8,61.5428839,34.8792193,20.87398,20.6,74.8326815,103.8957013,0.0
2006-11-06 06:00:00,3.8,59.6159252,34.5983087,20.9077292,20.4,74.9279005,104.0102997,0.0
2006-11-06 08:00:00,3.7,62.2084398,34.5516111,20.9711814,20.4,75.1507082,103.5035137,0.0
2006-11-06 10:00:00,3.7,60.8955593,34.3000041,21.0466869,20.3,74.9381077,103.1707009,0.0
2006-11-06 12:00:00,3.8,59.5699687,34.2634476,20.7712754,20.7,75.5307054,103.7873818,0.0
2006-11-06 14:00:00,3.7,60.9963209,34.3410824,20.7644057,20.4,76.2076653,103.5264536,0.0
2006-11-06 16:00:00,3.7,57.8906397,29.66332,20.6933741,20.6,76.4358705,103.0438992,0.0
2006-11-06 18:00:00,3.9,61.6946014,29.465216,20.913315,20.9,77.2182626,103.5662513,0.0
